the_geom,OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.432151217601 37.780208944137),23716,Fillmore St&Turk St SW-FS/BZ,FILLTUR0,FILLTURK,4642,37.780203999999998,-122.43213799999999,0,TURK ST,FILLMORE ST,FS,SW,BZ,1,10/29/2017 05:39:39 PM +0000,653332,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.392617205607 37.729295942813),25918,3rd St&Van Dyke Ave NE-FS/SI,3ST VDY0,3ST VDY0,7345,37.729290999999996,-122.39260400000001,0,VAN DYKE AVE,3RD ST,MB,,SI,0,10/29/2017 05:39:39 PM +0000,657169,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.432686211181 37.721642938958),25850,Persia Ave&Madrid St E-NS/SB,PERSMAD1,PERSMADR,5910,37.721637999999999,-122.43267299999999,0,MADRID ST,PERSIA AVE,NS,E,,0,10/29/2017 05:39:39 PM +0000,656861,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.455527218318 37.7536849398),23365,Clarendon Ave&Panorama Dr S-NS/PS,CLDNPNR1,CLDNPNRM,4037,37.753679999999996,-122.45551399999999,0,PANORAMA DR,CLARENDON AVE,NS,SE,,0,10/29/2017 05:39:39 PM +0000,652429,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.428203208866 37.711874938617),24060,1650 Geneva Ave N-FS/BZ,GNVA1650,GNVA1650,4795,37.711869999999998,-122.42819,0,,GENEVA AVE,FS,N,,0,10/29/2017 05:39:39 PM +0000,653531,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.443151217962 37.764499941548),26065,415 Roosevelt Way SE-NS/SB,RSVTH410,RSVTH415,6231,37.764494999999997,-122.443138,0,,ROOSEVELT WAY,NS,SE,,0,10/29/2017 05:39:39 PM +0000,657421,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.412216217463 37.799104946687),24034,Mason St&Green St E-MI,MASNGRE0,MASNGREN,5362,37.799100000000003,-122.41220300000001,0,GREEN ST,MASON ST,MI,E,,0,10/29/2017 05:39:39 PM +0000,653502,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.495598225003 37.757271936885),24801,Sunset Blvd&Lawton St NW-NS/SB,SUNSLAW0,SUNSLAWT,6535,37.757266999999999,-122.49558500000001,0,LAWTON ST,SUNSET BLVD,NS,NW,,0,10/29/2017 05:39:39 PM +0000,654982,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.466759221348 37.766005940263),23937,Lincoln Way&9th Ave NW-FS/BZ,LWAY 9A0,LWAY 9AV,5300,37.766000999999996,-122.466746,0,9TH AVE,LINCOLN WY,FS,NW,BZ,1,10/29/2017 05:39:39 PM +0000,653742,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.414563210793 37.738924941994),24579,Cortland Ave&Ellsworth St NE-NS/PS,CORTEWT1,CORTEWTH,4151,37.73892,-122.41454999999999,0,ELLSWORTH ST,CORTLAND AVE,NS,NE,,0,10/29/2017 05:39:39 PM +0000,654618,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
